iter	Passed	Remaining
402	12601	3033
403	12630	3001
404	12660	2969
405	12690	2938
406	12721	2906
407	12753	2875
408	12783	2844
409	12813	2812
410	12843	2781
411	12872	2749
412	12901	2717
413	12931	2686
414	12960	2654
415	12989	2622
416	13023	2592
417	13053	2560
418	13084	2529
419	13113	2497
420	13143	2466
421	13175	2435
422	13207	2404
423	13239	2373
424	13271	2341
425	13300	2310
426	13329	2278
427	13358	2247
428	13388	2215
429	13419	2184
430	13449	2153
431	13477	2121
432	13506	2089
433	13535	2058
434	13564	2026
435	13593	1995
436	13621	1963
437	13650	1932
438	13678	1900
439	13708	1869
440	13736	1837
441	13765	1806
442	13794	1774
443	13825	1743
444	13853	1712
445	13883	1681
446	13913	1649
447	13942	1618
448	13970	1586
449	13999	1555
450	14029	1524
451	14058	1492
452	14088	1461
453	14116	1430
454	14144	1398
455	14172	1367
456	14200	1336
457	14229	1304
458	14258	1273
459	14286	1242
460	14314	1210
461	14344	1179
462	14373	1148
463	14402	1117
464	14432	1086
465	14459	1054
466	14487	1023
467	14517	992
468	14555	962
469	14587	931
470	14617	899
471	14644	868
472	14673	837
473	14701	806
474	14731	775
475	14759	744
476	14788	713
477	14815	681
478	14845	650
479	14876	619
480	14905	588
481	14942	558
482	14998	527
483	15061	497
484	15126	467
485	15173	437
486	15202	405
487	15232	374
488	15262	343
489	15297	312
490	15330	281
491	15364	249
492	15402	218
493	15432	187
494	15461	156
495	15490	124
496	15521	93
497	15551	62
498	15598	31
499	15629	0
