iter	Logloss
0	0.6917415808
1	0.6903738339
2	0.6890264548
3	0.687846354
4	0.6864084846
5	0.6851523561
6	0.6838755536
7	0.6827513187
8	0.6815326579
9	0.680312784
10	0.6792298961
11	0.6780565129
12	0.6768710532
13	0.6757194893
14	0.6745439711
15	0.6734914927
16	0.6724341528
17	0.6715071099
18	0.6703475302
19	0.6693164253
20	0.6681675584
21	0.667340709
22	0.6661849001
23	0.6650198778
24	0.6640942889
25	0.6631959184
26	0.6622190661
27	0.6614616931
28	0.6606299557
29	0.6599426346
30	0.6591404252
31	0.6583870305
32	0.6574136722
33	0.6566898605
34	0.6558123668
35	0.6546201461
36	0.653488339
37	0.6524674899
38	0.6513227519
39	0.6504381591
40	0.6496070996
41	0.6486450974
42	0.647675596
43	0.6467151485
44	0.6458575695
45	0.6451320611
46	0.6442440781
47	0.6431618172
48	0.6423203587
49	0.641487049
50	0.6406983823
51	0.6395838694
52	0.6388885358
53	0.6381492264
54	0.6374931026
55	0.6365410771
56	0.6359253067
57	0.6348957985
58	0.6341840345
59	0.6332766368
60	0.6324022775
61	0.6316742531
62	0.6311221065
63	0.6303982037
64	0.6298929269
65	0.629144984
66	0.6283139713
67	0.627542829
68	0.6268670769
69	0.6261143273
70	0.6257010723
71	0.6250710622
72	0.6246422072
73	0.62396239
74	0.6235309201
75	0.6227211057
76	0.6221586474
77	0.6217491099
78	0.6211522674
79	0.620909744
80	0.6203714375
81	0.6198564824
82	0.6191701225
83	0.6186954637
84	0.6181282341
85	0.6174346414
86	0.6168697106
87	0.6164698766
88	0.615868077
89	0.6153057635
90	0.6147902594
91	0.6143199762
92	0.6140889338
93	0.6134534096
94	0.6129249737
95	0.6124163397
96	0.6118145957
97	0.6112027197
98	0.6106647308
99	0.6102231779
100	0.6095552027
101	0.6092547618
102	0.6089294504
103	0.6086444088
104	0.6079543912
105	0.6075174814
106	0.6072089942
107	0.6067782395
108	0.6063751065
109	0.6059954686
110	0.6058142656
111	0.6052934366
112	0.6047503843
113	0.6041455481
114	0.6037281928
115	0.6032661086
116	0.6029465023
117	0.6026654596
118	0.6022656368
119	0.6019997399
120	0.6015737702
121	0.6010540368
122	0.6008466705
123	0.6006587275
124	0.5999941954
125	0.5994594635
126	0.5992909796
127	0.5991652591
128	0.5987926808
129	0.5984025005
130	0.5980506932
131	0.597664617
132	0.5973058806
133	0.5969309181
134	0.5965972413
135	0.5964602694
136	0.5961038093
137	0.5959318115
138	0.5956134393
139	0.5951999068
140	0.5950476582
141	0.5946050265
142	0.5943882263
143	0.5939111276
144	0.5935702183
145	0.5930300727
146	0.5927209194
147	0.5922583294
148	0.5919303011
149	0.5915388236
150	0.5913149055
151	0.5909805486
152	0.5905848821
153	0.5902907549
154	0.5899945673
155	0.5899037484
156	0.5896441412
157	0.5894769799
158	0.5891569657
159	0.5888105353
160	0.5885980584
161	0.5883641524
162	0.5880928373
163	0.5878006587
164	0.5876118612
165	0.5872501885
166	0.587176959
167	0.5867978778
168	0.5863856008
169	0.5859767216
170	0.5857217555
171	0.5854569853
172	0.5850841393
173	0.5847453789
174	0.5845056151
175	0.5840616155
176	0.5837850446
177	0.5837089889
178	0.5834305907
179	0.5830645101
180	0.582856233
181	0.5826878437
182	0.5826117857
183	0.5824350116
184	0.582184653
185	0.5819189473
186	0.5816776321
187	0.5813827871
188	0.5810760902
189	0.5808542134
190	0.5805841679
191	0.5803762348
192	0.5800998553
193	0.5796989069
194	0.5795236796
195	0.579390112
196	0.5790700083
197	0.5786574225
198	0.5784233864
199	0.5781064096
200	0.5777508278
201	0.5774854327
202	0.5774346613
203	0.5771165175
204	0.5767560938
205	0.5765798631
206	0.5762797885
207	0.5762181806
208	0.5761247755
209	0.5756334467
210	0.5754089464
211	0.5749596911
212	0.5749000436
213	0.5746591928
214	0.5745444574
215	0.5742058314
216	0.5742004708
217	0.5739057848
218	0.5737382152
219	0.5735245285
220	0.5732125419
221	0.5731452543
222	0.5730047004
223	0.5728383291
224	0.5726598132
225	0.572455706
226	0.5721231745
227	0.57199204
228	0.5717098308
229	0.5714669122
230	0.5712880562
231	0.5710731381
232	0.5708198861
233	0.5706617258
234	0.5704708332
235	0.57032604
236	0.5700344185
237	0.5700023932
238	0.5698214277
239	0.5696117344
240	0.5693782908
241	0.5691258185
242	0.5687620408
243	0.5686512432
244	0.5683606525
245	0.5683009909
246	0.5681141379
247	0.5677880187
248	0.5675255033
249	0.5673797451
250	0.5672406719
251	0.567000408
252	0.5668405232
253	0.566621425
254	0.5664527921
255	0.5663642154
256	0.5662908842
257	0.5660549498
258	0.5656934045
259	0.5654828237
260	0.5651620372
261	0.5649853378
262	0.5648004159
263	0.5646360473
264	0.564487189
265	0.5643713059
266	0.5643371033
267	0.5642108931
268	0.5640554701
269	0.5639634773
270	0.5637701557
271	0.5635404394
272	0.5633935944
273	0.5632224572
274	0.5630343504
275	0.5629748199
276	0.562722791
277	0.5626344274
278	0.5624493341
279	0.5622177663
280	0.5620289901
281	0.5618065231
282	0.5616699666
283	0.5614969015
284	0.5613589573
285	0.5610418046
286	0.5607857079
287	0.5605881628
288	0.5603226543
289	0.5601723836
290	0.5598541147
291	0.5595591088
292	0.5593892687
293	0.5592894484
294	0.5591626347
295	0.5591207275
296	0.558906244
297	0.558697843
298	0.5586564007
299	0.5586482246
300	0.558470822
301	0.5583929676
302	0.5583212943
303	0.5581738565
304	0.5580949515
305	0.5578266877
306	0.5576198254
307	0.5574888615
308	0.5572411389
309	0.5568878199
310	0.5567435459
311	0.5567147286
312	0.5566674942
313	0.556560215
314	0.5563714349
315	0.5561944693
316	0.5560698958
317	0.5559600987
318	0.5558964675
319	0.5556525265
320	0.5554147893
321	0.5551824674
322	0.5550728903
323	0.554862009
324	0.5547634278
